ReportID,RelativeRecommendation,RelativeAnaExperience,RelativeCoNumber,RelativeNumber,IsStarAnalyst,AnalystExperience,FollowCoNumber,ForecastNumber,roe,LOSS
9876097,0.0,-6.33,-18.33,-93.67,0.0,3.77,7.0,19.0,0.08555446621007312,0.0
9864677,0.0,-4.0,1.67,-32.67,0.0,6.1,16.0,46.0,0.08555446621007312,0.0
9851497,-3.0,23.09,-24.77,-103.38,0.0,34.44,3.0,5.0,0.08555446621007312,0.0
9817537,0.0,-3.31,-22.09,-77.27,0.0,3.77,7.0,19.0,0.08555446621007312,0.0
9799773,1.0,0.73,3.56,93.11,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9783383,1.0,1.06,5.91,105.18,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9760553,-1.0,-9.14,-39.33,-110.08,0.0,2.16,2.0,3.0,0.08555446621007312,0.0
9754659,0.0,-1.18,-5.3,-28.2,0.0,6.1,16.0,46.0,0.08555446621007312,0.0
9752851,0.0,-2.19,3.91,-3.27,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9748159,0.0,9.48,0.56,-36.89,0.0,3.4,26.0,68.0,0.08555446621007312,0.0
9742903,1.0,-2.61,1.56,-19.89,0.0,4.83,33.0,80.0,0.08555446621007312,0.0
9699243,1.0,-6.03,33.67,70.87,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9624559,1.0,-6.4,33.67,68.67,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9623103,0.0,-5.04,-3.94,-15.0,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9602979,1.0,4.67,-28.43,-27.14,0.0,15.58,8.0,30.0,0.08555446621007312,0.0
9601961,0.0,-7.78,-27.33,-97.08,0.0,3.52,19.0,25.0,0.08555446621007312,0.0
9593779,0.0,-7.53,-34.33,-97.08,0.0,3.77,7.0,19.0,0.08555446621007312,0.0
9591879,-1.0,8.1,94.38,211.31,0.0,18.68,74.0,129.0,0.08555446621007312,0.0
9589405,-1.0,-7.44,-31.88,-101.75,0.0,6.1,16.0,46.0,0.08555446621007312,0.0
9589185,0.0,20.73,42.13,53.25,0.0,34.28,103.0,153.0,0.08555446621007312,0.0
9586443,0.0,5.62,-18.33,-70.08,0.0,3.4,26.0,68.0,0.08555446621007312,0.0
9586211,1.0,-6.46,-11.33,-54.08,0.0,4.83,33.0,80.0,0.08555446621007312,0.0
9582527,-1.0,-1.68,-24.33,-50.08,0.0,9.62,18.0,45.0,0.08555446621007312,0.0
9582407,0.0,-9.87,13.13,-8.75,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9545447,1.0,-4.11,-4.07,-48.8,0.0,4.83,33.0,80.0,0.08555446621007312,0.0
9541743,1.0,-5.54,33.64,25.14,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9476117,1.0,-1.33,-5.79,52.14,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9469859,0.5,-5.15,34.23,23.69,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9469715,-1.5,0.8,-11.77,-28.31,0.0,9.62,18.0,45.0,0.08555446621007312,0.0
9469707,-1.0,9.16,89.36,196.57,0.0,18.68,74.0,129.0,0.08555446621007312,0.0
9440953,0.0,15.79,18.13,141.25,0.0,24.94,28.0,102.0,0.08555446621007312,0.0
9445415,0.0,-0.98,-3.88,54.25,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9445395,0.0,-4.0,4.58,-19.67,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9441127,0.0,-0.06,-8.42,-61.5,0.0,8.82,20.0,25.0,0.08555446621007312,0.0
9437671,0.0,-5.39,-20.88,-73.75,0.0,3.77,7.0,19.0,0.08555446621007312,0.0
9439637,0.0,-4.01,4.58,-20.5,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9438775,-1.0,-4.99,-17.17,-39.17,0.0,5.51,14.0,73.0,0.08555446621007312,0.0
9438455,0.0,-5.48,29.13,14.25,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9436553,-1.0,0.88,7.58,53.5,0.0,9.77,20.0,34.0,0.08555446621007312,0.0
9435859,-1.0,8.04,-1.42,-43.5,0.0,3.4,26.0,68.0,0.08555446621007312,0.0
9435849,-1.0,-3.06,-4.88,-35.75,0.0,6.1,16.0,46.0,0.08555446621007312,0.0
9427705,0.0,-3.38,-12.2,28.2,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9416991,0.0,-3.43,-12.2,27.0,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9413051,0.0,-6.73,-8.2,-54.0,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9405025,0.0,-6.87,25.86,-5.71,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9349687,0.0,-5.75,-2.85,53.69,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9342265,0.0,-10.28,30.38,11.46,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9339999,0.0,-9.08,-0.62,-31.54,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9337205,0.0,-9.1,-0.46,-31.92,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9331071,0.0,2.86,-4.36,-68.93,0.0,3.4,26.0,68.0,0.08555446621007312,0.0
9330547,0.0,-10.37,27.71,-21.57,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9329559,0.0,-5.89,-4.36,28.07,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9294501,-1.0,-7.93,-4.08,-53.08,0.0,6.1,16.0,46.0,0.08555446621007312,0.0
9286725,0.0,2.72,-6.86,-70.57,0.0,3.4,26.0,68.0,0.08555446621007312,0.0
9274269,0.0,10.28,17.83,100.58,0.0,24.94,28.0,102.0,0.08555446621007312,0.0
9273909,0.0,-6.48,-4.0,8.0,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9273503,0.0,-9.82,-3.33,-66.17,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9271011,0.0,-10.98,13.0,-55.0,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9221555,-1.0,-9.34,-8.75,-51.08,0.0,5.51,14.0,73.0,0.08555446621007312,0.0
9221153,0.0,-5.24,-10.0,-147.67,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9220897,0.0,-9.46,-13.0,-86.2,0.0,4.81,25.0,30.0,0.08555446621007312,0.0
9219985,0.0,-10.5,-15.0,-94.2,0.0,3.77,7.0,19.0,0.08555446621007312,0.0
9219541,-1.0,16.43,13.0,46.8,1.0,30.7,14.0,44.0,0.08555446621007312,0.0
9219041,0.0,10.68,19.0,91.8,0.0,24.94,28.0,102.0,0.08555446621007312,0.0
9218211,0.0,-9.39,-5.0,-73.2,0.0,4.88,30.0,80.0,0.08555446621007312,0.0
9216849,0.0,-6.09,-2.0,-0.2,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9215031,0.0,-5.89,-13.75,-137.0,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9197951,0.0,5.84,21.25,236.0,0.0,15.41,17.0,43.0,0.08555446621007312,0.0
9143343,0.0,-8.49,-17.67,-117.83,0.0,3.68,72.0,175.0,0.08555446621007312,0.0
9143127,0.0,-3.99,-4.67,-35.83,1.0,8.18,33.0,140.0,0.08555446621007312,0.0
9124971,0.0,-4.68,-16.33,-71.95,0.0,5.56,7.0,31.0,0.07859095090818846,0.0
9079915,0.0,-0.03,21.11,243.22,0.0,15.41,17.0,43.0,0.08555446621007312,0.0
9048917,0.0,-8.9,-16.25,-120.44,0.0,0.81,12.0,18.0,0.07859095090818846,0.0
9024195,-1.0,17.2,1.24,8.35,1.0,26.63,8.0,10.0,0.07859095090818846,0.0
9017251,0.0,17.76,-21.93,-118.6,0.0,26.28,4.0,9.0,0.07859095090818846,0.0
