Stkcd,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
603023.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601021.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300623.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002599.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300265.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603612.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600109.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300245.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600439.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002709.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603108.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300460.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603010.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002087.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300688.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002588.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000821.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603358.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002501.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600438.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000551.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002715.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002072.XSHE,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
600785.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300289.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601012.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002210.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600167.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300226.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002828.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600633.XSHG,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
002910.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300616.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002912.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603458.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600619.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300433.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002688.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300581.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300473.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300446.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002399.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002468.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300667.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600223.XSHG,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
300402.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000090.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300649.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002824.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600773.XSHG,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
002725.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002189.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002017.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603501.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600029.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603555.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600701.XSHG,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
300643.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002505.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000823.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002595.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600322.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002523.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002111.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300231.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000880.XSHE,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
600623.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600645.XSHG,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
600509.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300343.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002396.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603648.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002302.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002580.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600180.XSHG,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
600655.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300733.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600682.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603158.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603129.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002646.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300107.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300355.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600653.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600338.XSHG,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
300653.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300038.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300206.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300367.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000419.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002404.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603595.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000662.XSHE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
600300.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603067.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300701.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601198.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002798.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300177.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600345.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600221.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601633.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000578.XSHE,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
002455.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600478.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603096.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603737.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300680.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603069.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300598.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000725.XSHE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
603444.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600267.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603716.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300229.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600879.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600816.XSHG,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
600111.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300010.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600283.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300363.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600570.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002388.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600051.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300592.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601222.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600993.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002109.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
002174.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002774.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002278.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600586.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300219.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300195.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600240.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300386.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
